vehicle_id,location_id,arrival_time,departure_time
0,0,0,0
0,7,1,4
0,1,7,12
0,4,10,13
0,3,16,16
0,0,22,22
1,0,0,0
1,5,2,5
1,8,5,7
1,6,6,8
1,2,10,10
1,0,17,17
2,0,0,0
2,12,3,5
2,13,5,6
2,15,10,10
2,11,12,12
2,0,17,17
3,0,0,0
3,9,1,3
3,14,7,8
3,16,11,11
3,10,14,14
3,0,19,19
